codigo,aglo,estimacion,periodo,variable,value
14,Concordia,80000,201403,desvio,1634
14,Concordia,80000,201403,cv,2
14,Concordia,88000,201403,desvio,1667
14,Concordia,88000,201403,cv,1.9
14,Concordia,96000,201403,desvio,1698
14,Concordia,96000,201403,cv,1.8
13,Gran Córdoba,12000,201403,desvio,4313
13,Gran Córdoba,12000,201403,cv,35.9
13,Gran Córdoba,13000,201403,desvio,4389
13,Gran Córdoba,13000,201403,cv,33.8
13,Gran Córdoba,14000,201403,desvio,4460
13,Gran Córdoba,14000,201403,cv,31.9
13,Gran Córdoba,15000,201403,desvio,4528
13,Gran Córdoba,15000,201403,cv,30.2
13,Gran Córdoba,16000,201403,desvio,4592
13,Gran Córdoba,16000,201403,cv,28.7
13,Gran Córdoba,18000,201403,desvio,4711
13,Gran Córdoba,18000,201403,cv,26.2
13,Gran Córdoba,20000,201403,desvio,4820
13,Gran Córdoba,20000,201403,cv,24.1
13,Gran Córdoba,22000,201403,desvio,4921
13,Gran Córdoba,22000,201403,cv,22.4
13,Gran Córdoba,25000,201403,desvio,5060
13,Gran Córdoba,25000,201403,cv,20.2
13,Gran Córdoba,28000,201403,desvio,5186
13,Gran Córdoba,28000,201403,cv,18.5
13,Gran Córdoba,32000,201403,desvio,5339
13,Gran Córdoba,32000,201403,cv,16.7
13,Gran Córdoba,37000,201403,desvio,5510
13,Gran Córdoba,37000,201403,cv,14.9
13,Gran Córdoba,43000,201403,desvio,5693
13,Gran Córdoba,43000,201403,cv,13.2
13,Gran Córdoba,50000,201403,desvio,5882
13,Gran Córdoba,50000,201403,cv,11.8
13,Gran Córdoba,57000,201403,desvio,6052
13,Gran Córdoba,57000,201403,cv,10.6
13,Gran Córdoba,64000,201403,desvio,6207
13,Gran Córdoba,64000,201403,cv,9.7
13,Gran Córdoba,74000,201403,desvio,6406
13,Gran Córdoba,74000,201403,cv,8.7
13,Gran Córdoba,84000,201403,desvio,6585
13,Gran Córdoba,84000,201403,cv,7.8
13,Gran Córdoba,94000,201403,desvio,6748
13,Gran Córdoba,94000,201403,cv,7.2
13,Gran Córdoba,104000,201403,desvio,6898
13,Gran Córdoba,104000,201403,cv,6.6
13,Gran Córdoba,119000,201403,desvio,7103
13,Gran Córdoba,119000,201403,cv,6
13,Gran Córdoba,134000,201403,desvio,7288
13,Gran Córdoba,134000,201403,cv,5.4
13,Gran Córdoba,158000,201403,desvio,7554
13,Gran Córdoba,158000,201403,cv,4.8
13,Gran Córdoba,182000,201403,desvio,7790
13,Gran Córdoba,182000,201403,cv,4.3
13,Gran Córdoba,206000,201403,desvio,8003
13,Gran Córdoba,206000,201403,cv,3.9
13,Gran Córdoba,230000,201403,desvio,8197
13,Gran Córdoba,230000,201403,cv,3.6
13,Gran Córdoba,254000,201403,desvio,8376
13,Gran Córdoba,254000,201403,cv,3.3
13,Gran Córdoba,284000,201403,desvio,8581
13,Gran Córdoba,284000,201403,cv,3
13,Gran Córdoba,314000,201403,desvio,8771
13,Gran Córdoba,314000,201403,cv,2.8
13,Gran Córdoba,344000,201403,desvio,8947
13,Gran Córdoba,344000,201403,cv,2.6
13,Gran Córdoba,384000,201403,desvio,9163
13,Gran Córdoba,384000,201403,cv,2.4
13,Gran Córdoba,424000,201403,desvio,9363
13,Gran Córdoba,424000,201403,cv,2.2
13,Gran Córdoba,464000,201403,desvio,9548
13,Gran Córdoba,464000,201403,cv,2.1
13,Gran Córdoba,504000,201403,desvio,9721
13,Gran Córdoba,504000,201403,cv,1.9
13,Gran Córdoba,549000,201403,desvio,9904
13,Gran Córdoba,549000,201403,cv,1.8
13,Gran Córdoba,594000,201403,desvio,10075
13,Gran Córdoba,594000,201403,cv,1.7
13,Gran Córdoba,639000,201403,desvio,10236
13,Gran Córdoba,639000,201403,cv,1.6
13,Gran Córdoba,684000,201403,desvio,10388
13,Gran Córdoba,684000,201403,cv,1.5
13,Gran Córdoba,729000,201403,desvio,10533
13,Gran Córdoba,729000,201403,cv,1.4
12,Corrientes,5000,201403,desvio,1264
12,Corrientes,5000,201403,cv,25.3
12,Corrientes,6000,201403,desvio,1345
12,Corrientes,6000,201403,cv,22.4
12,Corrientes,7000,201403,desvio,1418
12,Corrientes,7000,201403,cv,20.3
12,Corrientes,8000,201403,desvio,1485
12,Corrientes,8000,201403,cv,18.6
12,Corrientes,9000,201403,desvio,1546
12,Corrientes,9000,201403,cv,17.2
12,Corrientes,10000,201403,desvio,1602
12,Corrientes,10000,201403,cv,16
12,Corrientes,12000,201403,desvio,1706
12,Corrientes,12000,201403,cv,14.2
12,Corrientes,14000,201403,desvio,1798
12,Corrientes,14000,201403,cv,12.8
12,Corrientes,16000,201403,desvio,1882
12,Corrientes,16000,201403,cv,11.8
12,Corrientes,18000,201403,desvio,1960
12,Corrientes,18000,201403,cv,10.9
12,Corrientes,20000,201403,desvio,2032
12,Corrientes,20000,201403,cv,10.2
12,Corrientes,23000,201403,desvio,2131
12,Corrientes,23000,201403,cv,9.3
12,Corrientes,27000,201403,desvio,2251
12,Corrientes,27000,201403,cv,8.3
12,Corrientes,32000,201403,desvio,2386
12,Corrientes,32000,201403,cv,7.5
12,Corrientes,37000,201403,desvio,2508
12,Corrientes,37000,201403,cv,6.8
12,Corrientes,42000,201403,desvio,2619
12,Corrientes,42000,201403,cv,6.2
12,Corrientes,50000,201403,desvio,2780
12,Corrientes,50000,201403,cv,5.6
12,Corrientes,58000,201403,desvio,2925
12,Corrientes,58000,201403,cv,5
12,Corrientes,66000,201403,desvio,3057
12,Corrientes,66000,201403,cv,4.6
12,Corrientes,74000,201403,desvio,3179
12,Corrientes,74000,201403,cv,4.3
12,Corrientes,82000,201403,desvio,3293
12,Corrientes,82000,201403,cv,4
12,Corrientes,98000,201403,desvio,3500
12,Corrientes,98000,201403,cv,3.6
